,SUBDIVISION,YEAR,ANNUAL,J-J-A-S,Oct-Nov-Dec
168,KERALA,1954,2937.8999999999996,2107.4,397.20000000000005
169,KERALA,1955,3134.6,1849.7,576.0999999999999
170,KERALA,1956,2798.3,1720.1000000000001,540.6
171,KERALA,1957,3103.2000000000003,2107.4,501.5
172,KERALA,1958,2923.1,1948.6999999999998,404.8
173,KERALA,1959,3746.2000000000003,2831.3,386.3
174,KERALA,1960,3385.6,1939.2,637.6
175,KERALA,1961,4257.9,3229.3,377.6
176,KERALA,1962,3375.7999999999997,2101.6,584.0
177,KERALA,1963,2651.0,1848.4,424.4
178,KERALA,1964,2869.2,2079.7999999999997,535.1999999999999
179,KERALA,1965,2342.4999999999995,1509.0,470.9
180,KERALA,1966,2621.8,1593.3999999999999,688.2
181,KERALA,1967,2569.1,1937.3,277.8
182,KERALA,1968,3392.7000000000003,2711.4,331.0
183,KERALA,1969,2664.9,1870.5,421.3
184,KERALA,1970,2703.3,1860.7,364.5
185,KERALA,1971,3076.7000000000003,2254.6,321.5
186,KERALA,1972,2739.2000000000003,1596.8,606.3
187,KERALA,1973,2412.4,1749.3,399.1
188,KERALA,1974,2767.4999999999995,2188.2999999999997,206.7
189,KERALA,1975,3498.4,2529.2999999999997,593.1
190,KERALA,1976,2068.8,1297.1000000000001,538.8
191,KERALA,1977,3047.6,1788.4,805.4000000000001
192,KERALA,1978,3176.7,2081.0,575.6
193,KERALA,1979,2503.1000000000004,1840.5,448.8
194,KERALA,1980,2803.4000000000005,2077.5,484.1
195,KERALA,1981,3005.8,2274.4,446.90000000000003
196,KERALA,1982,2223.3,1689.3,302.7
197,KERALA,1983,2320.4999999999995,1907.0,321.79999999999995
198,KERALA,1984,2762.2,1951.6999999999998,371.7
199,KERALA,1985,2390.8,1650.4999999999998,322.9
200,KERALA,1986,2093.4,1498.4,369.7
201,KERALA,1987,2137.6,1347.2,619.2
202,KERALA,1988,2403.3999999999996,1845.6000000000001,166.6
203,KERALA,1989,2422.6,1664.8000000000002,406.5
204,KERALA,1990,2693.3,1638.1,487.2
205,KERALA,1991,3184.5000000000005,2515.6,410.00000000000006
